DATE,NOUTPUT65Q4,NOUTPUT66Q1,NOUTPUT66Q2,NOUTPUT66Q3,NOUTPUT66Q4,NOUTPUT67Q1,NOUTPUT67Q2,NOUTPUT67Q3,NOUTPUT67Q4,NOUTPUT68Q1,NOUTPUT68Q2,NOUTPUT68Q3,NOUTPUT68Q4,NOUTPUT69Q1,NOUTPUT69Q2,NOUTPUT69Q3,NOUTPUT69Q4,NOUTPUT70Q1,NOUTPUT70Q2,NOUTPUT70Q3,NOUTPUT70Q4,NOUTPUT71Q1,NOUTPUT71Q2,NOUTPUT71Q3,NOUTPUT71Q4,NOUTPUT72Q1,NOUTPUT72Q2,NOUTPUT72Q3,NOUTPUT72Q4,NOUTPUT73Q1,NOUTPUT73Q2,NOUTPUT73Q3,NOUTPUT73Q4,NOUTPUT74Q1,NOUTPUT74Q2,NOUTPUT74Q3,NOUTPUT74Q4,NOUTPUT75Q1,NOUTPUT75Q2,NOUTPUT75Q3,NOUTPUT75Q4,NOUTPUT76Q1,NOUTPUT76Q2,NOUTPUT76Q3,NOUTPUT76Q4,NOUTPUT77Q1,NOUTPUT77Q2,NOUTPUT77Q3,NOUTPUT77Q4,NOUTPUT78Q1,NOUTPUT78Q2,NOUTPUT78Q3,NOUTPUT78Q4,NOUTPUT79Q1,NOUTPUT79Q2,NOUTPUT79Q3,NOUTPUT79Q4,NOUTPUT80Q1,NOUTPUT80Q2,NOUTPUT80Q3,NOUTPUT80Q4,NOUTPUT81Q1,NOUTPUT81Q2,NOUTPUT81Q3,NOUTPUT81Q4,NOUTPUT82Q1,NOUTPUT82Q2,NOUTPUT82Q3,NOUTPUT82Q4,NOUTPUT83Q1,NOUTPUT83Q2,NOUTPUT83Q3,NOUTPUT83Q4,NOUTPUT84Q1,NOUTPUT84Q2,NOUTPUT84Q3,NOUTPUT84Q4,NOUTPUT85Q1,NOUTPUT85Q2,NOUTPUT85Q3,NOUTPUT85Q4,NOUTPUT86Q1,NOUTPUT86Q2,NOUTPUT86Q3,NOUTPUT86Q4,NOUTPUT87Q1,NOUTPUT87Q2,NOUTPUT87Q3,NOUTPUT87Q4,NOUTPUT88Q1,NOUTPUT88Q2,NOUTPUT88Q3,NOUTPUT88Q4,NOUTPUT89Q1,NOUTPUT89Q2,NOUTPUT89Q3,NOUTPUT89Q4,NOUTPUT90Q1,NOUTPUT90Q2,NOUTPUT90Q3,NOUTPUT90Q4,NOUTPUT91Q1,NOUTPUT91Q2,NOUTPUT91Q3,NOUTPUT91Q4,NOUTPUT92Q1,NOUTPUT92Q2,NOUTPUT92Q3,NOUTPUT92Q4,NOUTPUT93Q1,NOUTPUT93Q2,NOUTPUT93Q3,NOUTPUT93Q4,NOUTPUT94Q1,NOUTPUT94Q2,NOUTPUT94Q3,NOUTPUT94Q4,NOUTPUT95Q1,NOUTPUT95Q2,NOUTPUT95Q3,NOUTPUT95Q4,NOUTPUT96Q1,NOUTPUT96Q2,NOUTPUT96Q3,NOUTPUT96Q4,NOUTPUT97Q1,NOUTPUT97Q2,NOUTPUT97Q3,NOUTPUT97Q4,NOUTPUT98Q1,NOUTPUT98Q2,NOUTPUT98Q3,NOUTPUT98Q4,NOUTPUT99Q1,NOUTPUT99Q2,NOUTPUT99Q3,NOUTPUT99Q4,NOUTPUT00Q1,NOUTPUT00Q2,NOUTPUT00Q3,NOUTPUT00Q4,NOUTPUT01Q1,NOUTPUT01Q2,NOUTPUT01Q3,NOUTPUT01Q4,NOUTPUT02Q1,NOUTPUT02Q2,NOUTPUT02Q3,NOUTPUT02Q4,NOUTPUT03Q1,NOUTPUT03Q2,NOUTPUT03Q3,NOUTPUT03Q4,NOUTPUT04Q1,NOUTPUT04Q2,NOUTPUT04Q3,NOUTPUT04Q4,NOUTPUT05Q1,NOUTPUT05Q2,NOUTPUT05Q3,NOUTPUT05Q4,NOUTPUT06Q1,NOUTPUT06Q2,NOUTPUT06Q3,NOUTPUT06Q4,NOUTPUT07Q1,NOUTPUT07Q2,NOUTPUT07Q3,NOUTPUT07Q4,NOUTPUT08Q1,NOUTPUT08Q2,NOUTPUT08Q3,NOUTPUT08Q4,NOUTPUT09Q1,NOUTPUT09Q2,NOUTPUT09Q3,NOUTPUT09Q4,NOUTPUT10Q1,NOUTPUT10Q2,NOUTPUT10Q3,NOUTPUT10Q4,NOUTPUT11Q1,NOUTPUT11Q2,NOUTPUT11Q3,NOUTPUT11Q4,NOUTPUT12Q1,NOUTPUT12Q2,NOUTPUT12Q3,NOUTPUT12Q4,NOUTPUT13Q1,NOUTPUT13Q2,NOUTPUT13Q3,NOUTPUT13Q4,NOUTPUT14Q1,NOUTPUT14Q2,NOUTPUT14Q3,NOUTPUT14Q4,NOUTPUT15Q1,NOUTPUT15Q2,NOUTPUT15Q3,NOUTPUT15Q4,NOUTPUT16Q1,NOUTPUT16Q2,NOUTPUT16Q3,NOUTPUT16Q4,NOUTPUT17Q1,NOUTPUT17Q2,NOUTPUT17Q3,NOUTPUT17Q4,NOUTPUT18Q1,NOUTPUT18Q2,NOUTPUT18Q3,NOUTPUT18Q4,NOUTPUT19Q1,NOUTPUT19Q2,NOUTPUT19Q3,NOUTPUT19Q4,NOUTPUT20Q1,NOUTPUT20Q2,NOUTPUT20Q3,NOUTPUT20Q4,NOUTPUT21Q1,NOUTPUT21Q2,NOUTPUT21Q3,NOUTPUT21Q4,NOUTPUT22Q1
1947:Q1,223.6,223.6,223.6,223.6,223.6,223.6,223.6,223.6,223.6,223.6,223.6,223.6,223.6,223.6,223.6,223.6,223.6,223.6,223.6,223.6,223.6,223.6,223.6,223.6,223.6,223.6,223.6,223.6,223.6,223.6,223.6,223.6,223.6,223.6,223.6,223.6,223.6,223.6,223.6,223.6,223.6,224.9,224.9,224.9,224.9,224.9,224.9,224.9,224.9,224.9,224.9,224.9,224.9,224.9,224.9,224.9,224.9,224.9,224.9,224.9,224.9,225.1,225.1,225.1,225.1,225.1,225.1,225.1,225.1,225.1,225.1,225.1,225.1,225.1,225.1,225.1,225.1,225.1,225.1,225.1,225.1,227.5,227.5,227.5,227.5,227.5,227.5,227.5,227.5,227.5,227.5,227.5,227.5,227.5,227.5,227.5,227.5,227.5,227.5,227.5,227.5,227.5,227.5,227.5,227.5,#N/A,#N/A,#N/A,#N/A,226.7,226.7,226.7,226.7,226.7,226.7,226.7,226.7,226.7,226.7,226.7,226.7,#N/A,#N/A,#N/A,#N/A,#N/A,237.4,237.4,237.4,237.4,237.4,237.4,237.4,237.4,237.4,237.4,#N/A,#N/A,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2,237.2,243.1,243.1,243.1,243.1,243.1,243.1,243.1,243.1,243.1,243.1,243.1,243.1,243.1,243.1,243.1,243.1,243.1,243.1,243.1,243.1,243.2,243.2,243.2,243.2,243.2,243.2,243.2,243.2,243.2,243.2,243.2,243.2,243.2,243.2,243.2
1947:Q2,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,229.1,229.1,229.1,229.1,229.1,229.1,229.1,229.1,229.1,229.1,229.1,229.1,229.1,229.1,229.1,229.1,229.1,229.1,229.1,229.1,229.3,229.3,229.3,229.3,229.3,229.3,229.3,229.3,229.3,229.3,229.3,229.3,229.3,229.3,229.3,229.3,229.3,229.3,229.3,229.3,231.5,231.5,231.5,231.5,231.5,231.5,231.5,231.5,231.5,231.5,231.5,231.5,231.5,231.5,231.5,231.5,231.5,231.5,231.5,231.5,231.5,231.5,231.5,231.5,#N/A,#N/A,#N/A,#N/A,230.6,230.6,230.6,230.6,230.6,230.6,230.6,230.6,230.6,230.6,230.6,230.6,#N/A,#N/A,#N/A,#N/A,#N/A,240.9,240.9,240.9,240.9,240.9,240.9,240.9,240.9,240.9,240.9,#N/A,#N/A,240.7,240.7,240.7,240.7,240.7,240.7,240.7,240.7,240.7,240.7,240.7,240.7,240.7,240.7,240.7,240.5,240.5,240.5,240.5,240.5,240.5,240.5,240.5,240.5,240.5,240.5,240.5,240.5,240.5,240.5,240.5,240.5,240.5,240.5,240.5,240.5,240.5,240.4,240.4,240.4,240.4,240.4,240.4,240.4,240.4,240.4,240.4,240.4,240.4,240.4,240.4,240.4,240.4,246.3,246.3,246.3,246.3,246.3,246.3,246.3,246.3,246.3,246.3,246.3,246.3,246.3,246.3,246.3,246.3,246.3,246.3,246.3,246.3,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246
1947:Q3,231.8,231.8,231.8,231.8,231.8,231.8,231.8,231.8,231.8,231.8,231.8,231.8,231.8,231.8,231.8,231.8,231.8,231.8,231.8,231.8,231.8,231.8,231.8,231.8,231.8,231.8,231.8,231.8,231.8,231.8,231.8,231.8,231.8,231.8,231.8,231.8,231.8,231.8,231.8,231.8,231.8,233.3,233.3,233.3,233.3,233.3,233.3,233.3,233.3,233.3,233.3,233.3,233.3,233.3,233.3,233.3,233.3,233.3,233.3,233.3,233.3,233.6,233.6,233.6,233.6,233.6,233.6,233.6,233.6,233.6,233.6,233.6,233.6,233.6,233.6,233.6,233.6,233.6,233.6,233.6,233.6,235.9,235.9,235.9,235.9,235.9,235.9,235.9,235.9,235.9,235.9,235.9,235.9,235.9,235.9,235.9,235.9,235.9,235.9,235.9,235.9,235.9,235.9,235.9,235.9,#N/A,#N/A,#N/A,#N/A,234.9,234.9,234.9,234.9,234.9,234.9,234.9,234.9,234.9,234.9,234.9,234.9,#N/A,#N/A,#N/A,#N/A,#N/A,245.1,245.1,245.1,245.1,245.1,245.1,245.1,245.1,245.1,245.1,#N/A,#N/A,244.9,244.9,244.9,244.9,244.9,244.9,244.9,244.9,244.9,244.9,244.9,244.9,244.9,244.9,244.9,244.6,244.6,244.6,244.6,244.6,244.6,244.6,244.6,244.6,244.6,244.6,244.6,244.6,244.6,244.6,244.6,244.6,244.6,244.6,244.6,244.6,244.6,244.5,244.5,244.5,244.5,244.5,244.5,244.5,244.5,244.5,244.5,244.5,244.5,244.5,244.5,244.5,244.5,250.1,250.1,250.1,250.1,250.1,250.1,250.1,250.1,250.1,250.1,250.1,250.1,250.1,250.1,250.1,250.1,250.1,250.1,250.1,250.1,249.6,249.6,249.6,249.6,249.6,249.6,249.6,249.6,249.6,249.6,249.6,249.6,249.6,249.6,249.6
1947:Q4,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,243.6,243.6,243.6,243.6,243.6,243.6,243.6,243.6,243.6,243.6,243.6,243.6,243.6,243.6,243.6,243.6,243.6,243.6,243.6,243.6,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,246.1,246.1,246.1,246.1,246.1,246.1,246.1,246.1,246.1,246.1,246.1,246.1,246.1,246.1,246.1,246.1,246.1,246.1,246.1,246.1,246.1,246.1,246.1,246.1,#N/A,#N/A,#N/A,#N/A,245,245,245,245,245,245,245,245,245,245,245,245,#N/A,#N/A,#N/A,#N/A,#N/A,255,255,255,255,255,255,255,255,255,255,#N/A,#N/A,254.7,254.7,254.7,254.7,254.7,254.7,254.7,254.7,254.7,254.7,254.7,254.7,254.7,254.7,254.7,254.4,254.4,254.4,254.4,254.4,254.4,254.4,254.4,254.4,254.4,254.4,254.4,254.4,254.4,254.4,254.4,254.4,254.4,254.4,254.4,254.4,254.4,254.3,254.3,254.3,254.3,254.3,254.3,254.3,254.3,254.3,254.3,254.3,254.3,254.3,254.3,254.3,254.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,259.7,259.7,259.7,259.7,259.7,259.7,259.7,259.7,259.7,259.7,259.7,259.7,259.7,259.7,259.7
1948:Q1,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,249.6,249.6,249.6,249.6,249.6,249.6,249.6,249.6,249.6,249.6,249.6,249.6,249.6,249.6,249.6,249.6,249.6,249.6,249.6,249.6,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,252.4,252.4,252.4,252.4,252.4,252.4,252.4,252.4,252.4,252.4,252.4,252.4,252.4,252.4,252.4,252.4,252.4,252.4,252.4,252.4,252.4,252.4,252.4,252.4,#N/A,#N/A,#N/A,#N/A,251.1,251.1,251.1,251.1,251.1,251.1,251.1,251.1,251.1,251.1,251.1,251.1,#N/A,#N/A,#N/A,#N/A,#N/A,260.8,260.8,260.8,260.8,260.8,260.8,260.8,260.8,260.8,260.8,#N/A,#N/A,260.8,260.8,260.8,260.8,260.8,260.8,260.8,260.8,260.8,260.8,260.8,260.8,260.8,260.8,260.8,260.4,260.4,260.4,260.4,260.4,260.4,260.4,260.4,260.4,260.4,260.4,260.4,260.4,260.4,260.4,260.4,260.4,260.4,260.4,260.4,260.4,260.4,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,265.7,265.7,265.7,265.7,265.7,265.7,265.7,265.7,265.7,265.7,265.7,265.7,265.7,265.7,265.7
1948:Q2,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,257.1,257.1,257.1,257.1,257.1,257.1,257.1,257.1,257.1,257.1,257.1,257.1,257.1,257.1,257.1,257.1,257.1,257.1,257.1,257.1,257.5,257.5,257.5,257.5,257.5,257.5,257.5,257.5,257.5,257.5,257.5,257.5,257.5,257.5,257.5,257.5,257.5,257.5,257.5,257.5,259.7,259.7,259.7,259.7,259.7,259.7,259.7,259.7,259.7,259.7,259.7,259.7,259.7,259.7,259.7,259.7,259.7,259.7,259.7,259.7,259.7,259.7,259.7,259.7,#N/A,#N/A,#N/A,#N/A,258.3,258.3,258.3,258.3,258.3,258.3,258.3,258.3,258.3,258.3,258.3,258.3,#N/A,#N/A,#N/A,#N/A,#N/A,267.9,267.9,267.9,267.9,267.9,267.9,267.9,267.9,267.9,267.9,#N/A,#N/A,267.7,267.7,267.7,267.7,267.7,267.7,267.7,267.7,267.7,267.7,267.7,267.7,267.7,267.7,267.7,267.3,267.3,267.3,267.3,267.3,267.3,267.3,267.3,267.3,267.3,267.3,267.3,267.3,267.3,267.3,267.3,267.3,267.3,267.3,267.3,267.3,267.3,267.3,267.3,267.3,267.3,267.3,267.3,267.3,267.3,267.3,267.3,267.3,267.3,267.3,267.3,267.3,267.3,272.9,272.9,272.9,272.9,272.9,272.9,272.9,272.9,272.9,272.9,272.9,272.9,272.9,272.9,272.9,272.9,272.9,272.9,272.9,272.9,272.6,272.6,272.6,272.6,272.6,272.6,272.6,272.6,272.6,272.6,272.6,272.6,272.6,272.6,272.6
1948:Q3,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264.5,264.5,264.5,264.5,264.5,264.5,264.5,264.5,264.5,264.5,264.5,264.5,264.5,264.5,264.5,264.5,264.5,264.5,264.5,264.5,266.6,266.6,266.6,266.6,266.6,266.6,266.6,266.6,266.6,266.6,266.6,266.6,266.6,266.6,266.6,266.6,266.6,266.6,266.6,266.6,266.6,266.6,266.6,266.6,#N/A,#N/A,#N/A,#N/A,265.3,265.3,265.3,265.3,265.3,265.3,265.3,265.3,265.3,265.3,265.3,265.3,#N/A,#N/A,#N/A,#N/A,#N/A,274.4,274.4,274.4,274.4,274.4,274.4,274.4,274.4,274.4,274.4,#N/A,#N/A,274.3,274.3,274.3,274.3,274.3,274.3,274.3,274.3,274.3,274.3,274.3,274.3,274.3,274.3,274.3,273.9,273.9,273.9,273.9,273.9,273.9,273.9,273.9,273.9,273.9,273.9,273.9,273.9,273.9,273.9,273.9,273.9,273.9,273.9,273.9,273.9,273.9,273.8,273.8,273.8,273.8,273.8,273.8,273.8,273.8,273.8,273.8,273.8,273.8,273.8,273.8,273.8,273.8,279.5,279.5,279.5,279.5,279.5,279.5,279.5,279.5,279.5,279.5,279.5,279.5,279.5,279.5,279.5,279.5,279.5,279.5,279.5,279.5,279.2,279.2,279.2,279.2,279.2,279.2,279.2,279.2,279.2,279.2,279.2,279.2,279.2,279.2,279.2
1948:Q4,263.9,263.9,263.9,263.9,263.9,263.9,263.9,263.9,263.9,263.9,263.9,263.9,263.9,263.9,263.9,263.9,263.9,263.9,263.9,263.9,263.9,263.9,263.9,263.9,263.9,263.9,263.9,263.9,263.9,263.9,263.9,263.9,263.9,263.9,263.9,263.9,263.9,263.9,263.9,263.9,263.9,265.5,265.5,265.5,265.5,265.5,265.5,265.5,265.5,265.5,265.5,265.5,265.5,265.5,265.5,265.5,265.5,265.5,265.5,265.5,265.5,265.9,265.9,265.9,265.9,265.9,265.9,265.9,265.9,265.9,265.9,265.9,265.9,265.9,265.9,265.9,265.9,265.9,265.9,265.9,265.9,267.9,267.9,267.9,267.9,267.9,267.9,267.9,267.9,267.9,267.9,267.9,267.9,267.9,267.9,267.9,267.9,267.9,267.9,267.9,267.9,267.9,267.9,267.9,267.9,#N/A,#N/A,#N/A,#N/A,266.6,266.6,266.6,266.6,266.6,266.6,266.6,266.6,266.6,266.6,266.6,266.6,#N/A,#N/A,#N/A,#N/A,#N/A,275.8,275.8,275.8,275.8,275.8,275.8,275.8,275.8,275.8,275.8,#N/A,#N/A,275.6,275.6,275.6,275.6,275.6,275.6,275.6,275.6,275.6,275.6,275.6,275.6,275.6,275.6,275.6,275.2,275.2,275.2,275.2,275.2,275.2,275.2,275.2,275.2,275.2,275.2,275.2,275.2,275.2,275.2,275.2,275.2,275.2,275.2,275.2,275.2,275.2,275.1,275.1,275.1,275.1,275.1,275.1,275.1,275.1,275.1,275.1,275.1,275.1,275.1,275.1,275.1,275.1,280.7,280.7,280.7,280.7,280.7,280.7,280.7,280.7,280.7,280.7,280.7,280.7,280.7,280.7,280.7,280.7,280.7,280.7,280.7,280.7,280.4,280.4,280.4,280.4,280.4,280.4,280.4,280.4,280.4,280.4,280.4,280.4,280.4,280.4,280.4
1949:Q1,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.5,258.5,260.1,260.1,260.1,260.1,260.1,260.1,260.1,260.1,260.1,260.1,260.1,260.1,260.1,260.1,260.1,260.1,260.1,260.1,260.1,260.1,260.5,260.5,260.5,260.5,260.5,260.5,260.5,260.5,260.5,260.5,260.5,260.5,260.5,260.5,260.5,260.5,260.5,260.5,260.5,260.5,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,#N/A,#N/A,#N/A,#N/A,261.6,261.6,261.6,261.6,261.6,261.6,261.6,261.6,261.6,261.6,261.6,261.6,#N/A,#N/A,#N/A,#N/A,#N/A,270.6,270.6,270.6,270.6,270.6,270.6,270.6,270.6,270.6,270.6,#N/A,#N/A,270.4,270.4,270.4,270.4,270.4,270.4,270.4,270.4,270.4,270.4,270.4,270.4,270.4,270.4,270.4,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,269.9,269.9,269.9,269.9,269.9,269.9,269.9,269.9,269.9,269.9,269.9,269.9,269.9,269.9,269.9,269.9,275.4,275.4,275.4,275.4,275.4,275.4,275.4,275.4,275.4,275.4,275.4,275.4,275.4,275.4,275.4,275.4,275.4,275.4,275.4,275.4,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275
1949:Q2,255.2,255.2,255.2,255.2,255.2,255.2,255.2,255.2,255.2,255.2,255.2,255.2,255.2,255.2,255.2,255.2,255.2,255.2,255.2,255.2,255.2,255.2,255.2,255.2,255.2,255.2,255.2,255.2,255.2,255.2,255.2,255.2,255.2,255.2,255.2,255.2,255.2,255.2,255.2,255.2,255.2,256.6,256.6,256.6,256.6,256.6,256.6,256.6,256.6,256.6,256.6,256.6,256.6,256.6,256.6,256.6,256.6,256.6,256.6,256.6,256.6,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,259.2,259.2,259.2,259.2,259.2,259.2,259.2,259.2,259.2,259.2,259.2,259.2,259.2,259.2,259.2,259.2,259.2,259.2,259.2,259.2,259.2,259.2,259.2,259.2,#N/A,#N/A,#N/A,#N/A,258.1,258.1,258.1,258.1,258.1,258.1,258.1,258.1,258.1,258.1,258.1,258.1,#N/A,#N/A,#N/A,#N/A,#N/A,266.7,266.7,266.7,266.7,266.7,266.7,266.7,266.7,266.7,266.7,#N/A,#N/A,266.6,266.6,266.6,266.6,266.6,266.6,266.6,266.6,266.6,266.6,266.6,266.6,266.6,266.6,266.6,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,266.2,271.7,271.7,271.7,271.7,271.7,271.7,271.7,271.7,271.7,271.7,271.7,271.7,271.7,271.7,271.7,271.7,271.7,271.7,271.7,271.7,271.4,271.4,271.4,271.4,271.4,271.4,271.4,271.4,271.4,271.4,271.4,271.4,271.4,271.4,271.4
